LM-001 | administrativo-concepto-silencio-administrativo | A | realismo severo de Ribera | sala de máquinas | cenital | azul petróleo | radiografía contra una ventana | canto grabado de una moneda | 9:16
LM-002 | el-acto-que-nadie-notifico | A | naturalismo de Zurbarán | patio de vecindad | detalle de manos | latón viejo | huella que borra la marea | matasellos | 4:5
LM-003 | el-permiso-condicionado-que-nadie-leyo | A | fresco renacentista | taller de imprenta | vista a través de un marco interior | latón viejo | tinta que se seca | chapa numerada | 1:1
LM-004 | la-multa-que-nunca-se-cobro | A | panel Art Nouveau | cocina familiar | plano general | nogal profundo | luz que cruza una grieta | orla de cianotipo con inscripción | 9:16
LM-005 | la-responsabilidad-que-no-se-delega | A | manierismo alargado de El Greco | imprenta de valores y documentos oficiales | contrapicado | marfil editorial | sedimento que se asienta | guarda marmoleada de libro encuadernado | 4:5
LM-006 | presto-el-coche-llego-la-multa | A | aguada sepia de archivo notarial | mercado al amanecer | plano holandés | latón viejo | limaduras que un imán ordena | placa de latón | 1:1
LM-007 | quien-controla-el-plazo-negocia | A | retrato cortesano de Velázquez | sala de máquinas | plano largo descentrado | azul petróleo | espejo empañado | monograma bordado | 9:16
LM-008 | diez-pruebas-forenses-que-deciden-casos | A | detalle prerrafaelita | garita de aduana | cenital | latón viejo | huella que borra la marea | orla grabada estilo billete | 4:5
LM-009 | diferencia-perito-testigo | A | fresco renacentista | taller mecánico | detalle de manos | azul petróleo | tinta que se seca | sello seco | 1:1
LM-010 | el-testigo-honesto-que-recuerda-mal | A | vitral gótico | vagón nocturno | vista a través de un marco interior | latón viejo | humo de un sello | sello de lacre | 9:16
LM-011 | la-declaracion-del-que-tambien-es-parte | A | bodegón flamenco monocromo | imprenta de valores y documentos oficiales | contrapicado | marfil editorial | sedimento que se asienta | marca de fuego | 4:5
LM-012 | lo-que-el-perito-no-puede-decir | A | cartel litográfico Belle Époque | obra parada | plano medio | nogal profundo | radiografía contra una ventana | placa de latón | 1:1
LM-013 | situacion-odontologia-forense | A | grabado en acero de orla numismática | aula vacía | primer plano | marfil editorial | luz que cruza una grieta | chapa numerada | 9:16
LM-014 | comparacion-garantia-vs-devolucion | B | bodegón fotográfico de producto | notaría de pueblo | plano general | latón viejo | limaduras que un imán ordena | matasellos | 4:5
LM-015 | consumidor-consejo-producto-defectuoso-online | B | cianotipo de archivo técnico | mercado al amanecer | macro extremo | latón viejo | huella que borra la marea | monograma bordado | 1:1
LM-016 | el-consumidor-que-no-era-consumidor | B | fotografía industrial de Lewis Hine | garita de aduana | detalle de manos | azul petróleo | tinta que se seca | orla grabada estilo billete | 9:16
LM-017 | el-descuento-que-no-era-descuento | B | fotografía cinematográfica de foco único | taller mecánico | plano largo descentrado | azul petróleo | espejo empañado | marca de fuego | 4:5
LM-018 | el-plazo-de-la-garantia-legal | B | linograbado de taller | cocina familiar | cenital | nogal profundo | radiografía contra una ventana | placa de latón | 1:1
LM-019 | la-garantia-que-solo-cubria-defectos | B | daguerrotipo de estudio | sala de máquinas | primer plano | latón viejo | humo de un sello | guarda marmoleada de libro encuadernado | 9:16
